platform,game,developer,genre,release_date,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score
PC,Portal 2,Valve Software,Action,"Apr 18, 2011",51,1,0,1700,107,19,95,90
PC,The Elder Scrolls V: Skyrim,Bethesda Game Studios,Role-Playing,"Nov 10, 2011",32,0,0,1616,322,451,94,82
3DS,The Legend of Zelda: Ocarina of Time 3D,GREZZO,Miscellaneous,"Jun 19, 2011",84,1,0,283,20,5,94,90
PC,Batman: Arkham City,Rocksteady Studios,Action Adventure,"Nov 21, 2011",27,0,0,240,34,27,91,87
3DS,Super Mario 3D Land,Nintendo,Action,"Nov 13, 2011",81,1,0,251,39,11,90,84
PC,Deus Ex: Human Revolution,Nixxes Software,Action,"Aug 23, 2011",52,0,0,520,112,78,90,85
3DS,Pushmo,Intelligent Systems,Miscellaneous,"Dec  8, 2011",31,0,0,34,4,2,90,83
PC,Total War: Shogun 2,Creative Assembly,Strategy,"Mar 15, 2011",62,0,0,187,44,29,90,84
PC,FIFA Soccer 12,Electronic Arts,Sports,"Sep 27, 2011",14,0,0,33,8,10,89,71
PC,Battlefield 3,EA DICE,Action,"Oct 25, 2011",60,1,0,1061,191,271,89,76
PC,LIMBO,PLAYDEAD,Action,"Aug  2, 2011",22,0,0,190,63,25,88,81
PC,Assassin's Creed: Brotherhood,Ubisoft Montreal,Action Adventure,"Mar 22, 2011",24,0,0,107,34,13,88,82
PC,The Witcher 2: Assassins of Kings,CD Projekt Red Studio,Role-Playing,"May 17, 2011",70,6,0,1155,127,77,88,85
PC,Dead Space 2,Visceral Games,Action,"Jan 25, 2011",27,1,0,128,31,12,87,84
PC,Bastion,Supergiant Games,Action,"Aug 16, 2011",16,1,0,302,51,12,86,85
PC,Crysis 2,Crytek,Action,"Mar 22, 2011",39,3,0,202,119,120,86,68
PC,DiRT 3,Codemasters,Driving,"May 23, 2011",21,2,0,48,30,31,86,70
PC,Battlefield 3: Back to Karkand,EA DICE,Action,"Dec 13, 2011",8,1,0,22,8,6,86,72
3DS,Super Street Fighter IV: 3D Edition,Capcom,Action,"Mar 27, 2011",67,2,0,43,9,2,85,80
PC,Frozen Synapse,Mode 7 Games,Strategy,"May 26, 2011",24,3,0,43,6,10,85,76
3DS,Mario Kart 7,"Retro Studios, Entertainment Analysis & Development Division",Driving,"Dec  4, 2011",64,9,0,157,45,7,85,83
PC,Star Wars: The Old Republic,"LucasArts, BioWare",Sci-Fi,"Dec 20, 2011",68,5,0,646,216,490,85,59
PC,Saints Row: The Third,Volition Inc.,Action Adventure,"Nov 14, 2011",20,2,0,219,63,24,84,81
PC,SpaceChem,Zachtronics Industries,Miscellaneous,"Mar  2, 2011",11,2,0,45,3,2,84,85
PC,Super Street Fighter IV: Arcade Edition,"Capcom, QLOC",Action,"Jul  7, 2011",10,1,0,18,3,5,84,77
PC,Football Manager 2012,Sports Interactive,Sports,"Oct 20, 2011",43,2,0,22,5,4,84,79
PC,Unity of Command,2x2 Games,Strategy,"Nov 15, 2011",7,0,0,11,10,5,84,71
PC,The Binding of Isaac,"Edmund McMillen, Florian Himsl",Action,"Sep 28, 2011",28,2,0,194,34,23,84,84
PC,Trine 2,"Frozenbyte, Inc.",Action,"Dec  7, 2011",51,4,0,84,14,4,84,84
